"municipio_id_sus","periodo_data","estabelecimento_nome","equipe_nome","cadastro_quantidade","cadastro_criterio_pontuacao"
"355030","01/2022",UBS HORIZONTE AZUL,HORIZONTE AZUL 1,3538,false
"355030","01/2022",UBS JARDIM DOS EUCALIPTOS HELIO MOREIRA SALLES,"4166 - PAINEIRA",3857,false
"355030","01/2022",UBS DOM JOAO NERY,FLOR DE MAIO VI,4406,false
"355030","01/2022",UBS CIDADE NOVA SAO MIGUEL,HIBISCO II,3785,false
"355030","01/2022",UBS CASA VERDE ALTA,EQUIPE 4,3334,false
"355030","01/2022",UBS CAMPO LIMPO,CAMPO LIMPO - LARANJA,3149,false
"355030","01/2022",UBS ALTO DA RIVIERA,ALTO DA RIVIERA 2,3054,false
"355030","01/2022",UBS ANTONIO ESTEVAO DE CARVALHO,"4103 - GIRASSOL III",5290,false
"355030","01/2022",UBS ARRASTAO FRANCISCO SCALAMANDRE SOBRINHO,ARRASTAO - 04 - AMARELA,2391,false
"355030","01/2022",UBS BRAS MANOEL SALDIVA NETO,"4033 - EQUIPE C",2995,false
"355030","01/2022",UBS ALPES DO JARAGUA,ALPES - EQUIPE 3,4292,false
"355030","01/2022",UBS PQ SAO LUCAS,"4284 - EQUIPE 4",3291,false
"355030","01/2022",UBS CIDADE KEMEL,EQUIPE 01,4074,false
"355030","01/2022",UBS V STA CATARINA,"4304 EQUIPE 4 - VERDE",3390,false
"355030","01/2022",UBS MASCARENHAS DE MORAES,"4121 - EQUIPE 1 VERMELHA",3309,false
"355030","01/2022",UBS MASCARENHAS DE MORAES,"4125 - EQUIPE 5 LARANJA",4437,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM ELBA HUMBERTO GASTAO BODRA,"4152 - EQUIPE PRATA",3542,false
"355030","01/2022",UBS EDUARDO ROMANO RESCHILIAN,"4353 - JOAO DE BARROS",4611,false
"355030","01/2022",UBS PQ DA LAPA,EQUIPE 5 - EQUIPE VERDE,2288,false
"355030","01/2022",UBS MILTON SANTOS,"4292 EQUIPE 002 - AMARELA",4383,false
"355030","01/2022",UBS MANOEL JOAQUIM PERA,EQUIPE 2,3615,false
"355030","01/2022",UBS MANOEL JOAQUIM PERA,EQUIPE 1,3946,false
"355030","01/2022",UBS JARDIM TRES CORACOES,JD. TRES CORACOES 07,1832,false
"355030","01/2022",UBS SE,ESF SE 04 - CINZA,2693,false
"355030","01/2022",UBS J FLOR DE MAIO,EQUIPE TERRA UBS FLOR DE MAIO,3597,false
"355030","01/2022",UBS JARDIM MAGDALENA,MAGDALENA - AMARELO,3981,false
"355030","01/2022",UBS JOAQUIM ROSSINI VILA CARIOCA DR MOACIR PARRA,"4364 - 04 AMARELA",3750,false
"355030","01/2022",UBS V NOVA CURUCA,EQUIPE 06,3193,false
"355030","01/2022",UBS V NOVA CURUCA,EQUIPE 01,4454,false
"355030","01/2022",UBS MORRO DOCE,MORRO DOCE - LUZ,3945,false
"355030","01/2022",UBS VARGINHA,VARGINHA 02,2373,false
"355030","01/2022",UBS FATIMA DE JESUS VIANA ROSA,EQUIPE 1 PRETA,2681,false
"355030","01/2022",UBS VILA DALVA ENG GUILHERME H PINTO COELHO,EQUIPE 01 AMARELO DALVA,3051,false
"355030","01/2022",UBS THERSIO VENTURA,EQUIPE II,2868,false
"355030","01/2022",UBS CIDADE LIDER,VERMELHO,2519,false
"355030","01/2022",UBS JARDIM SAO CARLOS,EQUIPE 1,2288,false
"355030","01/2022",UBS PRO MORAR,"4552 - EQUIPE 2",3017,false
"355030","01/2022",UBS PRO MORAR,"4551 - EQUIPE 1",3672,false
"355030","01/2022",AMA UBS INTEGRADA JD SAO FRANCISCO II,EQUIPE 2- VERDE,4048,false
"355030","01/2022",UBS IACAPE JD PLANALTO,"4176 - EQUIPE 6 PRATA",3132,false
"355030","01/2022",UBS JARDIM ROBRU MESSIAS JOSE DA SILVA,FLANBOIANT II,3219,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM PAULISTANO,EQUIPE1 VERMELHA,2753,false
"355030","01/2022",UBS JD D ABRIL,EQUIPE VERMELHA JD DABRIL,4066,false
"355030","01/2022",UBS JARDIM CIDADE PIRITUBA,JD CIDADE - EQ2,3465,false
"355030","01/2022",UBS IGUACU,"4211 - EQUIPE 1 AZUL",2963,false
"355030","01/2022",UBS IGUACU,"4216 - EQUIPE 6 LARANJA",3353,false
"355030","01/2022",UBS DOMINGOS MANTELLI,MANTELLI - VERDE,4049,false
"355030","01/2022",UBS DOM ANGELICO,VITORIA REGIA I,3579,false
"355030","01/2022",UBS BRASILANDIA,"201 - VERDE",2846,false
"355030","01/2022",UBS J MAIA,VERDE,3362,false
"355030","01/2022",UBS CIDADE PEDRO JOSE NUNES,EQUIPE III,2778,false
"355030","01/2022",UBS MATA VIRGEM,MATA VIRGEM 3,802,false
"355030","01/2022",UBS JARDIM VISTA ALEGRE VANDA APARECIDA DOS SANTOS,"003 - EQUIPE C",2810,false
"355030","01/2022",UBS JARDIM TRES CORACOES,JD. TRES CORACOES 02,2700,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM SAO JORGE DR PAULO EDUARDO ELIAS,EQUIPE 02 ROSA SAO JORGE,2933,false
"355030","01/2022",UBS JARDIM SAO FRANCISCO I,"4081 - EQUIPE 01",3976,false
"355030","01/2022",UBS JARDIM MARACA,MARACA - VERMELHO,4108,false
"355030","01/2022",UBS VILA DIONISIA II,EQ 4,4349,false
"355030","01/2022",UBS ATUALPA GIRAO RABELO,EQUIPE 1,3590,false
"355030","01/2022",UBS JARDIM MARACA,MARACA - BRANCO,2789,false
"355030","01/2022",UBS BRASILIA M BOI MIRIM,BRASILIA 4,3257,false
"355030","01/2022",UBS REUNIDAS I,"4205 - AREA VERDE",3288,false
"355030","01/2022",UBS PASTORAL,"4221 - AMARELA",3685,false
"355030","01/2022",UBS CARLOS GENTILE DE MELO,EQUIPE GENTILE 4,3374,false
"355030","01/2022",AMA UBS JARDIM ALFREDO,J ALFREDO 7,3032,false
"355030","01/2022",UBS JARDIM THOMAS,J THOMAS 3,2983,false
"355030","01/2022",UBS PEDRO DE SOUZA CAMPOS,EQUIPE 01,3368,false
"355030","01/2022",UBS SAO JORGE CIDADE ADEMAR,SAO JORGE 1,2395,false
"355030","01/2022",UBS JARDIM OLINDA,OLINDA -LILAS,4167,false
"355030","01/2022",AMA UBS INTEGRADA PARQUE MARIA DOMITILA,DOMITILA - AZUL,4375,false
"355030","01/2022",UBS CITY JARAGUA,CITY JARAGUA - VERMELHA- 03,4071,false
"355030","01/2022",UBS CDHU PALANQUE,GERBERA III,4710,false
"355030","01/2022",UBS JD DA CONQUISTA II,"002- CQII",5048,false
